model,stage,steer_layer,read_layer,source,target,alpha,abs_alpha,delta,ci_low,ci_high,delta_auc,mean_kl,kl_harmless,random_kl_harmless,content_ratio,refusal_rate,d_refusal,d_refusal_harmful,d_refusal_harmless,margin_shift,class_gap
qwen2.5-7b,C,6,7,R_harm,R_harm,-1.0,1.0,-0.7694329619407654,-0.7736100822687149,-0.765289443731308,-0.0004000067710876465,0.023433849215507507,0.04077230021357536,0.016998634091578424,2.3985633194948908,0.38,-0.010000000000000009,-0.020000000000000018,0.0,0.4640820324420929,4.563311576843262
qwen2.5-7b,C,6,7,R_harm,R_control,-1.0,1.0,0.5211037993431091,0.5168231204152107,0.5249483242630959,0.00639999657869339,0.023433849215507507,0.04077230021357536,0.016998634091578424,2.3985633194948908,0.38,-0.010000000000000009,-0.020000000000000018,0.0,0.4640820324420929,2.4142346382141113
qwen2.5-7b,C,6,7,R_harm,R_role,-1.0,1.0,0.0019527461845427752,0.0013028583256527782,0.0026520854444243014,0.008799999952316284,0.023433849215507507,0.04077230021357536,0.016998634091578424,2.3985633194948908,0.38,-0.010000000000000009,-0.020000000000000018,0.0,0.4640820324420929,9.503987312316895
qwen2.5-7b,C,6,17,R_harm,R_harm,-1.0,1.0,-0.03695540130138397,-0.040912577603012326,-0.03330376399680972,0.0003999471664428711,0.023433849215507507,0.04077230021357536,0.016998634091578424,2.3985633194948908,0.38,-0.010000000000000009,-0.020000000000000018,0.0,0.4640820324420929,23.48501205444336
qwen2.5-7b,C,6,17,R_harm,R_control,-1.0,1.0,0.04447391629219055,0.03650048291310668,0.05217102142050862,0.018799960613250732,0.023433849215507507,0.04077230021357536,0.016998634091578424,2.3985633194948908,0.38,-0.010000000000000009,-0.020000000000000018,0.0,0.4640820324420929,13.214834213256836
qwen2.5-7b,C,6,17,R_harm,R_role,-1.0,1.0,0.020099038258194923,0.016962358821183444,0.023099142499268054,0.003600001335144043,0.023433849215507507,0.04077230021357536,0.016998634091578424,2.3985633194948908,0.38,-0.010000000000000009,-0.020000000000000018,0.0,0.4640820324420929,22.735044479370117
qwen2.5-7b,C,6,27,R_harm,R_harm,-1.0,1.0,-0.0030418196693062782,-0.006260566529817879,0.0001321378007560213,0.0004000067710876465,0.023433849215507507,0.04077230021357536,0.016998634091578424,2.3985633194948908,0.38,-0.010000000000000009,-0.020000000000000018,0.0,0.4640820324420929,206.79986572265625
qwen2.5-7b,C,6,27,R_harm,R_control,-1.0,1.0,0.009321060962975025,0.005455818434711546,0.013308006571605798,0.0004000067710876465,0.023433849215507507,0.04077230021357536,0.016998634091578424,2.3985633194948908,0.38,-0.010000000000000009,-0.020000000000000018,0.0,0.4640820324420929,150.81204223632812
qwen2.5-7b,C,6,27,R_harm,R_role,-1.0,1.0,0.007160908542573452,-0.0013659686985192819,0.01607821793295442,0.023200005292892456,0.023433849215507507,0.04077230021357536,0.016998634091578424,2.3985633194948908,0.38,-0.010000000000000009,-0.020000000000000018,0.0,0.4640820324420929,98.78836059570312
qwen2.5-7b,C,6,7,R_harm,R_harm,2.0,2.0,1.4796459674835205,1.4670808017253876,1.4919555008411407,-0.0004000067710876465,0.07725179940462112,0.11734136939048767,0.052812485955655575,2.221849005347226,0.39,0.0,0.0,0.0,-0.8399023413658142,4.563311576843262
