model,stage,steer_layer,relative_depth,source,alpha,mean_kl,margin_shift
qwen2.5-7b,A,16,0.5926,R_control,1.0,3.959479570388794,13.332616806030273
qwen2.5-7b,A,16,0.5926,R_control,-1.0,2.2064003944396973,-8.908788681030273
qwen2.5-7b,A,16,0.5926,R_role,1.0,0.7869001626968384,0.509570300579071
qwen2.5-7b,A,16,0.5926,R_role,-1.0,0.384053111076355,0.4310546815395355
qwen2.5-7b,A,17,0.6296,R_harm,1.0,2.2948622703552246,9.962305068969727
qwen2.5-7b,A,17,0.6296,R_harm,-1.0,1.6572996377944946,-4.470410346984863
qwen2.5-7b,A,17,0.6296,R_control,1.0,1.9804441928863525,11.488866806030273
qwen2.5-7b,A,17,0.6296,R_control,-1.0,1.8044456243515015,-8.747851371765137
qwen2.5-7b,A,17,0.6296,R_role,1.0,0.8315989375114441,1.5427734851837158
qwen2.5-7b,A,17,0.6296,R_role,-1.0,0.3826465606689453,-0.6025390625
qwen2.5-7b,A,18,0.6667,R_harm,1.0,3.665290355682373,12.1318359375
qwen2.5-7b,A,18,0.6667,R_harm,-1.0,3.957275390625,-11.06689453125
qwen2.5-7b,A,18,0.6667,R_control,1.0,4.773209571838379,16.373632431030273
qwen2.5-7b,A,18,0.6667,R_control,-1.0,4.322924613952637,-14.2197265625
qwen2.5-7b,A,18,0.6667,R_role,1.0,0.5980924963951111,1.4041016101837158
qwen2.5-7b,A,18,0.6667,R_role,-1.0,0.19446775317192078,-0.12480469048023224
qwen2.5-7b,A,19,0.7037,R_harm,1.0,2.2981317043304443,10.997461318969727
qwen2.5-7b,A,19,0.7037,R_harm,-1.0,3.173041820526123,-9.858202934265137
qwen2.5-7b,A,19,0.7037,R_control,1.0,2.5546114444732666,13.032617568969727
qwen2.5-7b,A,19,0.7037,R_control,-1.0,3.4794139862060547,-12.913476943969727
qwen2.5-7b,A,19,0.7037,R_role,1.0,0.373424768447876,1.1662108898162842
qwen2.5-7b,A,19,0.7037,R_role,-1.0,0.1352631002664566,-0.04804687574505806
qwen2.5-7b,A,20,0.7407,R_harm,1.0,1.972781777381897,11.189648628234863
qwen2.5-7b,A,20,0.7407,R_harm,-1.0,2.7618749141693115,-10.101758003234863
qwen2.5-7b,A,20,0.7407,R_control,1.0,3.0885231494903564,13.9833984375
qwen2.5-7b,A,20,0.7407,R_control,-1.0,4.148054599761963,-13.8173828125
qwen2.5-7b,A,20,0.7407,R_role,1.0,0.3332807421684265,1.145898461341858
qwen2.5-7b,A,20,0.7407,R_role,-1.0,0.15364257991313934,-0.17148438096046448
qwen2.5-7b,A,21,0.7778,R_harm,1.0,1.7612760066986084,11.037304878234863
qwen2.5-7b,A,21,0.7778,R_harm,-1.0,2.594895124435425,-9.849609375
qwen2.5-7b,A,21,0.7778,R_control,1.0,2.553954601287842,12.9267578125
qwen2.5-7b,A,21,0.7778,R_control,-1.0,3.8984782695770264,-12.812108993530273
qwen2.5-7b,A,21,0.7778,R_role,1.0,0.24108333885669708,0.9066406488418579
qwen2.5-7b,A,21,0.7778,R_role,-1.0,0.11010310798883438,-0.26933592557907104
qwen2.5-7b,A,22,0.8148,R_harm,1.0,1.2750955820083618,10.956835746765137
qwen2.5-7b,A,22,0.8148,R_harm,-1.0,2.0418877601623535,-10.324023246765137
qwen2.5-7b,A,22,0.8148,R_control,1.0,2.15437650680542,13.193554878234863
qwen2.5-7b,A,22,0.8148,R_control,-1.0,3.770730495452881,-13.669336318969727
qwen2.5-7b,A,22,0.8148,R_role,1.0,0.1866297423839569,0.3941406309604645
qwen2.5-7b,A,22,0.8148,R_role,-1.0,0.09216130524873734,0.12753906846046448
qwen2.5-7b,A,23,0.8519,R_harm,1.0,1.1921826601028442,12.247461318969727
qwen2.5-7b,A,23,0.8519,R_harm,-1.0,1.610457181930542,-10.981420516967773
qwen2.5-7b,A,23,0.8519,R_control,1.0,2.5539941787719727,15.998632431030273
qwen2.5-7b,A,23,0.8519,R_control,-1.0,3.392303943634033,-14.206787109375
qwen2.5-7b,A,23,0.8519,R_role,1.0,0.11140462011098862,0.919140636920929
qwen2.5-7b,A,23,0.8519,R_role,-1.0,0.06890524923801422,-0.4554687440395355
qwen2.5-7b,A,24,0.8889,R_harm,1.0,1.2536579370498657,12.318554878234863
qwen2.5-7b,A,24,0.8889,R_harm,-1.0,1.382706642150879,-10.854711532592773
qwen2.5-7b,A,24,0.8889,R_control,1.0,3.0285725593566895,17.151561737060547
qwen2.5-7b,A,24,0.8889,R_control,-1.0,3.4546828269958496,-14.867871284484863
qwen2.5-7b,A,24,0.8889,R_role,1.0,0.09118964523077011,1.3654296398162842
qwen2.5-7b,A,24,0.8889,R_role,-1.0,0.05871220678091049,-0.651171863079071
qwen2.5-7b,A,25,0.9259,R_harm,1.0,1.3994884490966797,12.429883003234863
qwen2.5-7b,A,25,0.9259,R_harm,-1.0,1.4891464710235596,-6.9736328125
qwen2.5-7b,A,25,0.9259,R_control,1.0,3.6231608390808105,18.701757431030273
qwen2.5-7b,A,25,0.9259,R_control,-1.0,3.668462038040161,-12.275976181030273
qwen2.5-7b,A,25,0.9259,R_role,1.0,0.07660435140132904,0.7245117425918579
qwen2.5-7b,A,25,0.9259,R_role,-1.0,0.04905214160680771,-0.25410157442092896
qwen2.5-7b,A,26,0.963,R_harm,1.0,0.9807065725326538,11.899023056030273
qwen2.5-7b,A,26,0.963,R_harm,-1.0,1.2356752157211304,-6.186913967132568
qwen2.5-7b,A,26,0.963,R_control,1.0,2.7770133018493652,18.120019912719727
qwen2.5-7b,A,26,0.963,R_control,-1.0,3.1431126594543457,-11.785741806030273
qwen2.5-7b,A,26,0.963,R_role,1.0,0.06880040466785431,0.18710938096046448
qwen2.5-7b,A,26,0.963,R_role,-1.0,0.046403881162405014,0.1376953125
