layer,relative_depth,train_accuracy,accuracy,acc_ci_low,acc_ci_high,chance,n_test_instructions,auc_tool_user,auc_ci_low_tool_user,auc_ci_high_tool_user,cos_probe_vs_dom_tool_user,auc_matched_tool_user,auc_matched_ci_low_tool_user,auc_matched_ci_high_tool_user,length_matched_auc_tool_user,auc_system_user,auc_ci_low_system_user,auc_ci_high_system_user,cos_probe_vs_dom_system_user,auc_matched_system_user,auc_matched_ci_low_system_user,auc_matched_ci_high_system_user,length_matched_auc_system_user,auc_assistant_user,auc_ci_low_assistant_user,auc_ci_high_assistant_user,cos_probe_vs_dom_assistant_user,auc_matched_assistant_user,auc_matched_ci_low_assistant_user,auc_matched_ci_high_assistant_user,length_matched_auc_assistant_user
14,0.5185,1.0,0.9622762148337596,0.9497677683830261,0.9746493101119995,0.25,100,0.9467301964759827,0.9328296184539795,0.959473729133606,0.6014631986618042,0.8816860914230347,0.8489342331886292,0.9130198955535889,0.521753191947937,0.7600911855697632,0.7436090111732483,0.7763013243675232,0.4963332414627075,0.8086948990821838,0.7833746671676636,0.8359835147857666,0.5008782148361206,0.9349027872085571,0.9229808449745178,0.9472838044166565,0.5579684972763062,0.8913754224777222,0.8779797554016113,0.905065655708313,0.5006822347640991
15,0.5556,1.0,0.967391304347826,0.9549040794372559,0.9792195558547974,0.25,100,0.9557008147239685,0.9430468678474426,0.9675888419151306,0.5877481698989868,0.885928750038147,0.8537032604217529,0.9160933494567871,0.521753191947937,0.7417341470718384,0.7261785864830017,0.7566663026809692,0.5107656121253967,0.8114533424377441,0.7866723537445068,0.8361458778381348,0.5008782148361206,0.9417892694473267,0.9295048713684082,0.9539782404899597,0.5505337715148926,0.8957369327545166,0.879694938659668,0.9112790822982788,0.5006822347640991
16,0.5926,1.0,0.9600383631713555,0.946517288684845,0.9730406999588013,0.25,100,0.9534372091293335,0.9404616355895996,0.9657754302024841,0.577031135559082,0.8770912885665894,0.8440028429031372,0.9084783792495728,0.521753191947937,0.7270842790603638,0.7107783555984497,0.7426248788833618,0.503786563873291,0.800665020942688,0.7742655873298645,0.8271011710166931,0.5008782148361206,0.9338173866271973,0.9208433628082275,0.9465830326080322,0.5207024812698364,0.8776260614395142,0.8610764741897583,0.8952025175094604,0.5006822347640991
17,0.6296,0.9999472128378378,0.9601982097186701,0.9464035630226135,0.9727124571800232,0.25,100,0.9471406936645508,0.9344419836997986,0.9599717855453491,0.5636513233184814,0.873020350933075,0.8379881381988525,0.9052587151527405,0.521753191947937,0.731208860874176,0.7153639197349548,0.7466403841972351,0.49745774269104004,0.7918792366981506,0.7660674452781677,0.8175318241119385,0.5008782148361206,0.9227283000946045,0.9073981046676636,0.9374556541442871,0.47145918011665344,0.8727353811264038,0.8542338609695435,0.89229416847229,0.5006822347640991
18,0.6667,1.0,0.9713874680306905,0.9585996866226196,0.9831044673919678,0.25,100,0.9303187727928162,0.9183762073516846,0.9432471990585327,0.5516185760498047,0.877074122428894,0.8442727327346802,0.907512366771698,0.521753191947937,0.7587012052536011,0.7430710792541504,0.7737047076225281,0.5468857884407043,0.796096920967102,0.7718636989593506,0.820803165435791,0.5008782148361206,0.8871278762817383,0.8720871210098267,0.9024654030799866,0.4063323140144348,0.851344883441925,0.8353133201599121,0.868537962436676,0.5006822347640991
19,0.7037,1.0,0.979539641943734,0.9691091179847717,0.9888424873352051,0.25,100,0.9324531555175781,0.9218114018440247,0.9443401098251343,0.5676960945129395,0.8691813349723816,0.8359880447387695,0.8996857404708862,0.521753191947937,0.8481531143188477,0.8331766128540039,0.8614731431007385,0.6099069118499756,0.8802473545074463,0.8602481484413147,0.89928138256073,0.5008782148361206,0.8991989493370056,0.8851168155670166,0.9137870669364929,0.3996095657348633,0.8617274165153503,0.8445968627929688,0.8789201378822327,0.5006822347640991
20,0.7407,1.0,0.9737851662404092,0.9631659388542175,0.9835673570632935,0.25,100,0.8986650705337524,0.8868690729141235,0.9116540551185608,0.5393662452697754,0.8572090864181519,0.820847749710083,0.8895270824432373,0.521753191947937,0.8788964152336121,0.8652983903884888,0.891303300857544,0.6012325286865234,0.8926170468330383,0.87410569190979,0.9107715487480164,0.5008782148361206,0.884543776512146,0.8682249188423157,0.9011370539665222,0.3441639244556427,0.8538176417350769,0.8342724442481995,0.8723894953727722,0.5006822347640991
21,0.7778,1.0,0.9728260869565217,0.9616203904151917,0.9827557802200317,0.25,100,0.9015324711799622,0.8896719217300415,0.9146880507469177,0.5594010949134827,0.8528032302856445,0.8167102336883545,0.8852460384368896,0.521753191947937,0.8838430643081665,0.8706774711608887,0.8968926668167114,0.5988664627075195,0.8947478532791138,0.8747706413269043,0.9139747023582458,0.5008782148361206,0.8964386582374573,0.8803525567054749,0.9134857654571533,0.34613245725631714,0.871545672416687,0.8531388640403748,0.8904688358306885,0.5006822347640991
22,0.8148,1.0,0.9625959079283888,0.9510521292686462,0.9735066890716553,0.25,100,0.8688600063323975,0.853951096534729,0.8848375678062439,0.5336084961891174,0.842875063419342,0.8028447031974792,0.878572940826416,0.521753191947937,0.869993269443512,0.8561663627624512,0.8829948902130127,0.5776059627532959,0.8754362463951111,0.8551779389381409,0.8970130085945129,0.5008782148361206,0.8837817311286926,0.8667802810668945,0.902518630027771,0.33799880743026733,0.8630257844924927,0.8444639444351196,0.8835034370422363,0.5006822347640991
23,0.8519,1.0,0.9622762148337596,0.9514248967170715,0.9728221297264099,0.25,100,0.8525577187538147,0.8376196026802063,0.8681336641311646,0.5411146879196167,0.8418015241622925,0.8037915229797363,0.8766584396362305,0.521753191947937,0.8425400853157043,0.8284523487091064,0.8572450876235962,0.5794336795806885,0.8695749640464783,0.8471673727035522,0.8927779197692871,0.5008782148361206,0.8718137145042419,0.8537683486938477,0.8923328518867493,0.34981638193130493,0.8549174666404724,0.8355288505554199,0.8766248226165771,0.5006822347640991
24,0.8889,1.0,0.9563618925831202,0.9447101950645447,0.9678046107292175,0.25,100,0.8708317279815674,0.8551986813545227,0.8862720131874084,0.5452369451522827,0.842617392539978,0.8045570254325867,0.8766898512840271,0.521753191947937,0.8474270701408386,0.8336505889892578,0.862373411655426,0.5731765627861023,0.8686054348945618,0.8471565842628479,0.8915174007415771,0.5008782148361206,0.8900921940803528,0.8740487694740295,0.9088836312294006,0.3714640736579895,0.8736653327941895,0.855837881565094,0.8944360017776489,0.5006822347640991
25,0.9259,1.0,0.9550831202046036,0.9438287615776062,0.9657694101333618,0.25,100,0.89872145652771,0.88432776927948,0.9127451777458191,0.5718502998352051,0.8548902273178101,0.8198514580726624,0.8854605555534363,0.521753191947937,0.8447350263595581,0.8306270241737366,0.8609544634819031,0.5428421497344971,0.8565849661827087,0.8336279392242432,0.8814100027084351,0.5008782148361206,0.9169983267784119,0.9035251140594482,0.9320308566093445,0.397738516330719,0.908866286277771,0.8944612741470337,0.9260694980621338,0.5006822347640991
26,0.963,1.0,0.970108695652174,0.9602344632148743,0.9785253405570984,0.25,100,0.9447867274284363,0.9346127510070801,0.9551120400428772,0.5887218713760376,0.8799254298210144,0.8497219085693359,0.9058290123939514,0.521753191947937,0.9168299436569214,0.904870331287384,0.9296503067016602,0.5499821901321411,0.9316272735595703,0.9159491062164307,0.9485872387886047,0.5008782148361206,0.9187161922454834,0.9072288274765015,0.9312986731529236,0.43900951743125916,0.9122672080993652,0.8994525671005249,0.9261372089385986,0.5006822347640991
27,1.0,1.0,0.959079283887468,0.9495227336883545,0.9687096476554871,0.25,100,0.8563175797462463,0.8425793647766113,0.8706622123718262,0.47774723172187805,0.8455546498298645,0.813177227973938,0.8790373802185059,0.521753191947937,0.8694082498550415,0.8579268455505371,0.8810533285140991,0.29344886541366577,0.8274020552635193,0.8078991174697876,0.8480350971221924,0.5008782148361206,0.8297110795974731,0.812354326248169,0.848540186882019,0.39815306663513184,0.8554943203926086,0.8370108604431152,0.8762221336364746,0.5006822347640991
