model,stage,steer_layer,relative_depth,source,alpha,mean_kl,margin_shift
qwen3.5-9b,A,22,0.7097,R_control,-1.0,0.4101414084434509,-4.734375
qwen3.5-9b,A,22,0.7097,R_role,1.0,0.025774771347641945,-2.4351563453674316
qwen3.5-9b,A,22,0.7097,R_role,-1.0,0.041862621903419495,2.766406297683716
qwen3.5-9b,A,23,0.7419,R_harm,1.0,1.526157021522522,7.592553615570068
qwen3.5-9b,A,23,0.7419,R_harm,-1.0,1.871315598487854,-8.426172256469727
qwen3.5-9b,A,23,0.7419,R_control,1.0,0.3852957487106323,4.716796875
qwen3.5-9b,A,23,0.7419,R_control,-1.0,0.40704894065856934,-5.188281059265137
qwen3.5-9b,A,23,0.7419,R_role,1.0,0.020918095484375954,-2.342578172683716
qwen3.5-9b,A,23,0.7419,R_role,-1.0,0.028764476999640465,2.57275390625
qwen3.5-9b,A,24,0.7742,R_harm,1.0,1.4887250661849976,8.612597465515137
qwen3.5-9b,A,24,0.7742,R_harm,-1.0,1.8874117136001587,-10.070703506469727
qwen3.5-9b,A,24,0.7742,R_control,1.0,0.4056468904018402,5.351660251617432
qwen3.5-9b,A,24,0.7742,R_control,-1.0,0.36443859338760376,-6.437109470367432
qwen3.5-9b,A,24,0.7742,R_role,1.0,0.02071257494390011,-2.3109374046325684
qwen3.5-9b,A,24,0.7742,R_role,-1.0,0.03261765092611313,2.6317381858825684
qwen3.5-9b,A,25,0.8065,R_harm,1.0,1.379704475402832,8.941088676452637
qwen3.5-9b,A,25,0.8065,R_harm,-1.0,1.6418178081512451,-10.275390625
qwen3.5-9b,A,25,0.8065,R_control,1.0,0.40224528312683105,5.403613090515137
qwen3.5-9b,A,25,0.8065,R_control,-1.0,0.3273908495903015,-6.575390815734863
qwen3.5-9b,A,25,0.8065,R_role,1.0,0.020985573530197144,-2.408203125
qwen3.5-9b,A,25,0.8065,R_role,-1.0,0.028974954038858414,2.817675828933716
qwen3.5-9b,A,26,0.8387,R_harm,1.0,1.225162148475647,9.081884384155273
qwen3.5-9b,A,26,0.8387,R_harm,-1.0,1.3715627193450928,-10.14453125
qwen3.5-9b,A,26,0.8387,R_control,1.0,0.3560282588005066,5.812890529632568
qwen3.5-9b,A,26,0.8387,R_control,-1.0,0.28687581419944763,-7.094140529632568
qwen3.5-9b,A,26,0.8387,R_role,1.0,0.019562821835279465,-2.422656297683716
qwen3.5-9b,A,26,0.8387,R_role,-1.0,0.025363463908433914,2.947070360183716
qwen3.5-9b,A,27,0.871,R_harm,1.0,1.107393741607666,7.248333930969238
qwen3.5-9b,A,27,0.871,R_harm,-1.0,1.2060898542404175,-11.301855087280273
qwen3.5-9b,A,27,0.871,R_control,1.0,0.33293285965919495,5.111620903015137
qwen3.5-9b,A,27,0.871,R_control,-1.0,0.2597906291484833,-8.261914253234863
qwen3.5-9b,A,27,0.871,R_role,1.0,0.018126891925930977,-2.321484327316284
qwen3.5-9b,A,27,0.871,R_role,-1.0,0.021271219477057457,2.655956983566284
qwen3.5-9b,A,28,0.9032,R_harm,1.0,0.9213793873786926,7.2812042236328125
qwen3.5-9b,A,28,0.9032,R_harm,-1.0,1.1277167797088623,-11.968066215515137
qwen3.5-9b,A,28,0.9032,R_control,1.0,0.34690791368484497,5.839550971984863
qwen3.5-9b,A,28,0.9032,R_control,-1.0,0.3555176556110382,-9.703027725219727
qwen3.5-9b,A,28,0.9032,R_role,1.0,0.020584380254149437,-2.4996094703674316
qwen3.5-9b,A,28,0.9032,R_role,-1.0,0.025214215740561485,2.9198241233825684
qwen3.5-9b,A,29,0.9355,R_harm,1.0,0.8530665636062622,6.774716377258301
qwen3.5-9b,A,29,0.9355,R_harm,-1.0,1.0169003009796143,-12.425122261047363
qwen3.5-9b,A,29,0.9355,R_control,1.0,0.366727352142334,5.939306735992432
qwen3.5-9b,A,29,0.9355,R_control,-1.0,0.4899113178253174,-11.076330184936523
qwen3.5-9b,A,29,0.9355,R_role,1.0,0.023700613528490067,-2.329296827316284
qwen3.5-9b,A,29,0.9355,R_role,-1.0,0.02955099381506443,2.5990233421325684
qwen3.5-9b,A,30,0.9677,R_harm,1.0,0.779485821723938,7.631448268890381
qwen3.5-9b,A,30,0.9677,R_harm,-1.0,0.9551388621330261,-12.359814643859863
qwen3.5-9b,A,30,0.9677,R_control,1.0,0.3318325877189636,6.443469047546387
qwen3.5-9b,A,30,0.9677,R_control,-1.0,0.4413939118385315,-10.466113090515137
qwen3.5-9b,A,30,0.9677,R_role,1.0,0.030548522248864174,-2.3609375953674316
qwen3.5-9b,A,30,0.9677,R_role,-1.0,0.04227611422538757,2.7035889625549316
