model,stage,steer_layer,read_layer,source,target,alpha,abs_alpha,delta,ci_low,ci_high,delta_auc,mean_kl,kl_harmless,random_kl_harmless,content_ratio,margin_shift,class_gap
qwen3.5-9b,C,7,8,R_harm,R_control,2.0,2.0,-0.3851422369480133,-0.40548712238669393,-0.36348545253276826,-0.01720002293586731,0.09182967245578766,0.17178936302661896,0.09591594897210598,1.7910406441016216,0.8424999713897705,1.0689592361450195
qwen3.5-9b,C,7,8,R_harm,R_role,2.0,2.0,-0.15798649191856384,-0.16248526163399218,-0.15369350463151932,0.06000000238418579,0.09182967245578766,0.17178936302661896,0.09591594897210598,1.7910406441016216,0.8424999713897705,4.93510103225708
qwen3.5-9b,C,7,19,R_harm,R_harm,2.0,2.0,0.0139914620667696,-0.0025981343816965817,0.02996681304648518,-0.00279998779296875,0.09182967245578766,0.17178936302661896,0.09591594897210598,1.7910406441016216,0.8424999713897705,23.36080551147461
qwen3.5-9b,C,7,19,R_harm,R_control,2.0,2.0,-0.02935411036014557,-0.05138184428215027,-0.007990977005101749,-0.011200010776519775,0.09182967245578766,0.17178936302661896,0.09591594897210598,1.7910406441016216,0.8424999713897705,15.32968807220459
qwen3.5-9b,C,7,19,R_harm,R_role,2.0,2.0,-0.10901056230068207,-0.12478148527443408,-0.09343748111277822,-0.04919999837875366,0.09182967245578766,0.17178936302661896,0.09591594897210598,1.7910406441016216,0.8424999713897705,12.593536376953125
qwen3.5-9b,C,7,31,R_harm,R_harm,2.0,2.0,0.02390860766172409,0.013187506049871445,0.03553782673552632,-0.003600001335144043,0.09182967245578766,0.17178936302661896,0.09591594897210598,1.7910406441016216,0.8424999713897705,118.91390991210938
qwen3.5-9b,C,7,31,R_harm,R_control,2.0,2.0,0.026036657392978668,0.012325275363400579,0.04168784487992522,-0.007999956607818604,0.09182967245578766,0.17178936302661896,0.09591594897210598,1.7910406441016216,0.8424999713897705,76.66504669189453
qwen3.5-9b,C,7,31,R_harm,R_role,2.0,2.0,-0.009445058181881905,-0.030334465904161334,0.009929690207354722,0.0067999958992004395,0.09182967245578766,0.17178936302661896,0.09591594897210598,1.7910406441016216,0.8424999713897705,60.2837028503418
qwen3.5-9b,C,7,8,R_harm,R_harm,-2.0,2.0,-1.7820935249328613,-1.8024008512496947,-1.7619726002216338,-0.004799962043762207,0.18307094275951385,0.3175917863845825,0.09591594897210598,3.31114678828798,-1.088437557220459,1.976116418838501
qwen3.5-9b,C,7,8,R_harm,R_control,-2.0,2.0,0.20984424650669098,0.1903123538941145,0.22780857272446156,0.02839997410774231,0.18307094275951385,0.3175917863845825,0.09591594897210598,3.31114678828798,-1.088437557220459,1.0689592361450195
qwen3.5-9b,C,7,8,R_harm,R_role,-2.0,2.0,0.21812859177589417,0.21509575732052327,0.2210790652781725,-0.0575999915599823,0.18307094275951385,0.3175917863845825,0.09591594897210598,3.31114678828798,-1.088437557220459,4.93510103225708
qwen3.5-9b,C,7,19,R_harm,R_harm,-2.0,2.0,-0.07203328609466553,-0.09243203699588776,-0.05284275375306606,0.0020000338554382324,0.18307094275951385,0.3175917863845825,0.09591594897210598,3.31114678828798,-1.088437557220459,23.36080551147461
qwen3.5-9b,C,7,19,R_harm,R_control,-2.0,2.0,-0.05100931227207184,-0.07992377169430256,-0.024027308868244293,0.0012000203132629395,0.18307094275951385,0.3175917863845825,0.09591594897210598,3.31114678828798,-1.088437557220459,15.32968807220459
qwen3.5-9b,C,7,19,R_harm,R_role,-2.0,2.0,0.034377992153167725,0.010500533017329873,0.0560661220923066,0.010399997234344482,0.18307094275951385,0.3175917863845825,0.09591594897210598,3.31114678828798,-1.088437557220459,12.593536376953125
qwen3.5-9b,C,7,31,R_harm,R_harm,-2.0,2.0,-0.05305290222167969,-0.06733190845698118,-0.03996614804491401,0.0012000203132629395,0.18307094275951385,0.3175917863845825,0.09591594897210598,3.31114678828798,-1.088437557220459,118.91390991210938
qwen3.5-9b,C,7,31,R_harm,R_control,-2.0,2.0,-0.05461403355002403,-0.0769205667078495,-0.0367038603872061,0.002400040626525879,0.18307094275951385,0.3175917863845825,0.09591594897210598,3.31114678828798,-1.088437557220459,76.66504669189453
qwen3.5-9b,C,7,31,R_harm,R_role,-2.0,2.0,0.02224094420671463,-0.008131483127363026,0.04910137401893727,0.09479999542236328,0.18307094275951385,0.3175917863845825,0.09591594897210598,3.31114678828798,-1.088437557220459,60.2837028503418
qwen3.5-9b,C,7,8,R_harm,R_harm,4.0,4.0,3.016749382019043,2.967609226703644,3.066512608528137,-0.0067999958992004395,0.3245135545730591,0.5942966938018799,0.2749739568680525,2.161283565072513,1.767187476158142,1.976116418838501
qwen3.5-9b,C,7,8,R_harm,R_control,4.0,4.0,-0.7808574438095093,-0.8208040341734886,-0.737587670981884,-0.023200005292892456,0.3245135545730591,0.5942966938018799,0.2749739568680525,2.161283565072513,1.767187476158142,1.0689592361450195
