layer,relative_depth,train_accuracy,accuracy,acc_ci_low,acc_ci_high,chance,n_test_instructions,auc_tool_user,auc_ci_low_tool_user,auc_ci_high_tool_user,cos_probe_vs_dom_tool_user,auc_matched_tool_user,auc_matched_ci_low_tool_user,auc_matched_ci_high_tool_user,length_matched_auc_tool_user,auc_system_user,auc_ci_low_system_user,auc_ci_high_system_user,cos_probe_vs_dom_system_user,auc_matched_system_user,auc_matched_ci_low_system_user,auc_matched_ci_high_system_user,length_matched_auc_system_user,auc_assistant_user,auc_ci_low_assistant_user,auc_ci_high_assistant_user,cos_probe_vs_dom_assistant_user,auc_matched_assistant_user,auc_matched_ci_low_assistant_user,auc_matched_ci_high_assistant_user,length_matched_auc_assistant_user
10,0.3226,0.9951963682432432,0.9625959079283888,0.9516792297363281,0.9732858538627625,0.25,100,0.8267660140991211,0.8130312561988831,0.8412075042724609,0.655476450920105,0.761572539806366,0.7287562489509583,0.7931990623474121,0.5130971670150757,0.7501009702682495,0.7351477742195129,0.765117347240448,0.6293377876281738,0.7742723226547241,0.7511931657791138,0.7983703017234802,0.49981802701950073,0.896895706653595,0.8861398100852966,0.9083311557769775,0.630050003528595,0.8616378307342529,0.8432489633560181,0.8796828985214233,0.4993681311607361
11,0.3548,0.9942461993243243,0.9544437340153452,0.943225085735321,0.9655404686927795,0.25,100,0.8565673828125,0.8413606882095337,0.8723317980766296,0.6450430154800415,0.7851830720901489,0.7509142160415649,0.8186418414115906,0.5130971670150757,0.8602720499038696,0.8439469933509827,0.8769711852073669,0.6654460430145264,0.7873316407203674,0.7619072198867798,0.8134858012199402,0.49981802701950073,0.9489979147911072,0.9399823546409607,0.9585475921630859,0.6579263806343079,0.9192922711372375,0.9014588594436646,0.935562014579773,0.4993681311607361
12,0.3871,0.9943517736486487,0.9589194373401535,0.9477302432060242,0.9696990251541138,0.25,100,0.865066647529602,0.8498855829238892,0.8810493350028992,0.6453558206558228,0.7761169672012329,0.7418321371078491,0.8101344108581543,0.5130971670150757,0.8535249829292297,0.83778315782547,0.8701385259628296,0.6592397093772888,0.7951493263244629,0.7685400247573853,0.8215250372886658,0.49981802701950073,0.9499884843826294,0.9401506185531616,0.9594596028327942,0.6474763751029968,0.9148447513580322,0.8954152464866638,0.9324502944946289,0.4993681311607361
13,0.4194,0.9954603040540541,0.96403452685422,0.95356684923172,0.9738298058509827,0.25,100,0.8676613569259644,0.8506560921669006,0.8847892880439758,0.6382917165756226,0.7799715995788574,0.7447126507759094,0.8159487247467041,0.5130971670150757,0.8424808382987976,0.8263576626777649,0.8594929575920105,0.61533522605896,0.7927137613296509,0.7659711837768555,0.8200215697288513,0.49981802701950073,0.9691406488418579,0.9614039659500122,0.9766782522201538,0.6292880177497864,0.9445645809173584,0.9285212755203247,0.959053635597229,0.4993681311607361
14,0.4516,0.997730152027027,0.9766624040920716,0.9688295125961304,0.9838505387306213,0.25,100,0.898855984210968,0.8812805414199829,0.9167779088020325,0.6438970565795898,0.7743173241615295,0.739410400390625,0.8104813098907471,0.5130971670150757,0.7533228397369385,0.738481342792511,0.7687460780143738,0.5913235545158386,0.8115643262863159,0.7876763939857483,0.8347671627998352,0.49981802701950073,0.9505289196968079,0.9425325393676758,0.9586815237998962,0.5719383358955383,0.9299085140228271,0.9113276600837708,0.9464878439903259,0.4993681311607361
15,0.4839,0.9973078547297297,0.9725063938618926,0.9644173383712769,0.9804602861404419,0.25,100,0.8863855004310608,0.8696898818016052,0.9036973118782043,0.6332800984382629,0.7827135920524597,0.7464213967323303,0.8194455504417419,0.5130971670150757,0.85137540102005,0.8347448110580444,0.8693539500236511,0.6080508828163147,0.8116999268531799,0.7855543494224548,0.838081955909729,0.49981802701950073,0.9829745292663574,0.9780451059341431,0.9877821803092957,0.5998230576515198,0.9640782475471497,0.9509280323982239,0.9752543568611145,0.4993681311607361
16,0.5161,0.998363597972973,0.9803388746803069,0.9720776677131653,0.9874686598777771,0.25,100,0.8938990831375122,0.8783299326896667,0.9098433256149292,0.6392675638198853,0.7885892987251282,0.7535682916641235,0.8241788744926453,0.5130971670150757,0.9340941905975342,0.9213488698005676,0.9466901421546936,0.6650547981262207,0.8296934366226196,0.8030477166175842,0.856065034866333,0.49981802701950073,0.9912950992584229,0.987907886505127,0.9943432807922363,0.5842706561088562,0.9805265665054321,0.9717565178871155,0.9881201386451721,0.4993681311607361
17,0.5484,0.9992081925675675,0.982576726342711,0.974298894405365,0.9900898337364197,0.25,100,0.9098469614982605,0.893871545791626,0.926314115524292,0.645162045955658,0.7944620847702026,0.7599602341651917,0.8301074504852295,0.5130971670150757,0.9458749890327454,0.9351140260696411,0.9568884372711182,0.6852647066116333,0.8322779536247253,0.8067441582679749,0.8583855628967285,0.49981802701950073,0.993672788143158,0.9915415644645691,0.9956974387168884,0.5732250213623047,0.9861997961997986,0.9796076416969299,0.9918972849845886,0.4993681311607361
18,0.5806,0.9997360641891891,0.9851342710997443,0.9785105586051941,0.9913248419761658,0.25,100,0.9042780995368958,0.8889690637588501,0.9197802543640137,0.6339532732963562,0.7945274114608765,0.7587139010429382,0.8310570120811462,0.5130971670150757,0.8946018218994141,0.8799101710319519,0.9098825454711914,0.6933672428131104,0.8438398241996765,0.8154634833335876,0.8701918125152588,0.49981802701950073,0.9705780148506165,0.9643963575363159,0.9767798781394958,0.5195255279541016,0.9582675695419312,0.9433834552764893,0.9705695509910583,0.4993681311607361
19,0.6129,0.9998944256756757,0.9803388746803069,0.9724667072296143,0.9876931309700012,0.25,100,0.8872342109680176,0.870535135269165,0.9041393995285034,0.5980576276779175,0.7880471348762512,0.7523390650749207,0.8242221474647522,0.5130971670150757,0.9691393971443176,0.9601055979728699,0.9778210520744324,0.7001864910125732,0.8203879594802856,0.794009268283844,0.849467396736145,0.49981802701950073,0.9978991150856018,0.9966394901275635,0.9989506006240845,0.5411951541900635,0.9957539439201355,0.9927473664283752,0.9982172846794128,0.4993681311607361
