model,stage,steer_layer,relative_depth,source,token_set,alpha,abs_alpha,mean_kl,margin_shift
qwen2.5-7b,B,6,0.2222,R_role,t_inst_only,-2.0,2.0,0.00493768323212862,-0.03964843600988388
qwen2.5-7b,B,6,0.2222,R_role,t_inst_only,4.0,4.0,0.0558018684387207,0.14042969048023224
qwen2.5-7b,B,6,0.2222,R_role,t_inst_only,-4.0,4.0,0.017972160130739212,-0.20009765028953552
qwen2.5-7b,B,6,0.2222,R_harm,post_instruction,0.25,0.25,0.0007934587192721665,-0.06132812425494194
qwen2.5-7b,B,6,0.2222,R_harm,post_instruction,-0.25,0.25,0.0007898730109445751,0.04941406100988388
qwen2.5-7b,B,6,0.2222,R_harm,post_instruction,0.5,0.5,0.001198474084958434,-0.12578125298023224
qwen2.5-7b,B,6,0.2222,R_harm,post_instruction,-0.5,0.5,0.0017809573328122497,0.08457031100988388
qwen2.5-7b,B,6,0.2222,R_harm,post_instruction,1.0,1.0,0.00390902953222394,-0.20761719346046448
qwen2.5-7b,B,6,0.2222,R_harm,post_instruction,-1.0,1.0,0.005254008807241917,0.20468750596046448
qwen2.5-7b,B,6,0.2222,R_harm,post_instruction,2.0,2.0,0.015909399837255478,-0.3851562440395355
qwen2.5-7b,B,6,0.2222,R_harm,post_instruction,-2.0,2.0,0.02030124142765999,0.45136719942092896
qwen2.5-7b,B,6,0.2222,R_harm,post_instruction,4.0,4.0,0.06122757866978645,-0.570117175579071
qwen2.5-7b,B,6,0.2222,R_harm,post_instruction,-4.0,4.0,0.07484199851751328,0.9183593988418579
qwen2.5-7b,B,6,0.2222,R_control,post_instruction,0.25,0.25,0.0005538761615753174,-0.01523437537252903
qwen2.5-7b,B,6,0.2222,R_control,post_instruction,-0.25,0.25,0.0006637812475673854,0.014453125186264515
qwen2.5-7b,B,6,0.2222,R_control,post_instruction,0.5,0.5,0.0008575679967179894,-0.007031249813735485
qwen2.5-7b,B,6,0.2222,R_control,post_instruction,-0.5,0.5,0.0007852076669223607,-0.00937500037252903
qwen2.5-7b,B,6,0.2222,R_control,post_instruction,1.0,1.0,0.0016465941444039345,0.00390625
qwen2.5-7b,B,6,0.2222,R_control,post_instruction,-1.0,1.0,0.0022313916124403477,-0.0011718750465661287
qwen2.5-7b,B,6,0.2222,R_control,post_instruction,2.0,2.0,0.005804596934467554,0.015429687686264515
qwen2.5-7b,B,6,0.2222,R_control,post_instruction,-2.0,2.0,0.007100360002368689,-0.012890624813735485
qwen2.5-7b,B,6,0.2222,R_control,post_instruction,4.0,4.0,0.015978965908288956,0.06015624850988388
qwen2.5-7b,B,6,0.2222,R_control,post_instruction,-4.0,4.0,0.04020049422979355,0.05488281324505806
qwen2.5-7b,B,6,0.2222,R_role,post_instruction,0.25,0.25,0.0018622458446770906,0.03496093675494194
qwen2.5-7b,B,6,0.2222,R_role,post_instruction,-0.25,0.25,0.0015346251893788576,-0.05937499925494194
qwen2.5-7b,B,6,0.2222,R_role,post_instruction,0.5,0.5,0.00461268937215209,0.10078124701976776
qwen2.5-7b,B,6,0.2222,R_role,post_instruction,-0.5,0.5,0.003739475505426526,-0.11171875149011612
qwen2.5-7b,B,6,0.2222,R_role,post_instruction,1.0,1.0,0.013615253381431103,0.1376953125
qwen2.5-7b,B,6,0.2222,R_role,post_instruction,-1.0,1.0,0.015100007876753807,-0.15292969346046448
qwen2.5-7b,B,6,0.2222,R_role,post_instruction,2.0,2.0,0.05254153162240982,-0.041015625
qwen2.5-7b,B,6,0.2222,R_role,post_instruction,-2.0,2.0,0.09407304972410202,0.10917969048023224
qwen2.5-7b,B,6,0.2222,R_role,post_instruction,4.0,4.0,0.28867653012275696,-1.17724609375
qwen2.5-7b,B,6,0.2222,R_role,post_instruction,-4.0,4.0,0.29358023405075073,1.6033203601837158
qwen2.5-7b,B,11,0.4074,R_harm,all_real,0.25,0.25,0.009955174289643764,-0.24648436903953552
qwen2.5-7b,B,11,0.4074,R_harm,all_real,-0.25,0.25,0.012027048505842686,0.25214844942092896
qwen2.5-7b,B,11,0.4074,R_harm,all_real,0.5,0.5,0.04183908551931381,-0.47734373807907104
qwen2.5-7b,B,11,0.4074,R_harm,all_real,-0.5,0.5,0.04597176983952522,0.5833984613418579
qwen2.5-7b,B,11,0.4074,R_harm,all_real,1.0,1.0,0.16276457905769348,-0.8335937261581421
qwen2.5-7b,B,11,0.4074,R_harm,all_real,-1.0,1.0,0.18159572780132294,1.2126953601837158
qwen2.5-7b,B,11,0.4074,R_harm,all_real,2.0,2.0,0.5905407071113586,-1.285742163658142
qwen2.5-7b,B,11,0.4074,R_harm,all_real,-2.0,2.0,0.6901873350143433,2.4068360328674316
qwen2.5-7b,B,11,0.4074,R_harm,all_real,4.0,4.0,1.7913631200790405,-0.876757800579071
qwen2.5-7b,B,11,0.4074,R_harm,all_real,-4.0,4.0,3.055600881576538,9.423632621765137
qwen2.5-7b,B,11,0.4074,R_control,all_real,0.25,0.25,0.0033366282004863024,0.17949219048023224
qwen2.5-7b,B,11,0.4074,R_control,all_real,-0.25,0.25,0.003984927199780941,-0.17167969048023224
qwen2.5-7b,B,11,0.4074,R_control,all_real,0.5,0.5,0.010515737347304821,0.35468751192092896
qwen2.5-7b,B,11,0.4074,R_control,all_real,-0.5,0.5,0.013955511152744293,-0.34296876192092896
qwen2.5-7b,B,11,0.4074,R_control,all_real,1.0,1.0,0.036345403641462326,0.775195300579071
qwen2.5-7b,B,11,0.4074,R_control,all_real,-1.0,1.0,0.05275918170809746,-0.672070324420929
qwen2.5-7b,B,11,0.4074,R_control,all_real,2.0,2.0,0.12539179623126984,1.625732421875
qwen2.5-7b,B,11,0.4074,R_control,all_real,-2.0,2.0,0.3275105357170105,-1.4267578125
qwen2.5-7b,B,11,0.4074,R_control,all_real,4.0,4.0,0.4999527335166931,3.069580078125
qwen2.5-7b,B,11,0.4074,R_control,all_real,-4.0,4.0,1.5268762111663818,-3.845898389816284
qwen2.5-7b,B,11,0.4074,R_role,all_real,0.25,0.25,0.01732790842652321,0.40234375
qwen2.5-7b,B,11,0.4074,R_role,all_real,-0.25,0.25,0.011303087696433067,-0.3441406190395355
qwen2.5-7b,B,11,0.4074,R_role,all_real,0.5,0.5,0.06413119286298752,0.8544921875
qwen2.5-7b,B,11,0.4074,R_role,all_real,-0.5,0.5,0.04231371730566025,-0.6117187738418579
qwen2.5-7b,B,11,0.4074,R_role,all_real,1.0,1.0,0.2554088830947876,1.3751952648162842
qwen2.5-7b,B,11,0.4074,R_role,all_real,-1.0,1.0,0.15320520102977753,-0.845703125
qwen2.5-7b,B,11,0.4074,R_role,all_real,2.0,2.0,1.5497432947158813,0.508007824420929
qwen2.5-7b,B,11,0.4074,R_role,all_real,-2.0,2.0,0.40400591492652893,-0.7369140386581421
qwen2.5-7b,B,11,0.4074,R_role,all_real,4.0,4.0,4.119907855987549,1.611914038658142
qwen2.5-7b,B,11,0.4074,R_role,all_real,-4.0,4.0,0.9103239178657532,-0.6353515386581421
qwen2.5-7b,B,11,0.4074,R_harm,instruction_span,0.25,0.25,0.0019919697660952806,-0.03125
qwen2.5-7b,B,11,0.4074,R_harm,instruction_span,-0.25,0.25,0.0033205035142600536,0.02402343787252903
qwen2.5-7b,B,11,0.4074,R_harm,instruction_span,0.5,0.5,0.007077763322740793,-0.0361328125
qwen2.5-7b,B,11,0.4074,R_harm,instruction_span,-0.5,0.5,0.010502762161195278,0.07382812350988388
