model,stage,steer_layer,read_layer,read_position,gate_read_layer,relative_read_depth,source,target,alpha,abs_alpha,delta,ci_low,ci_high,delta_auc,mean_kl,kl_harmless,random_kl_harmless,content_ratio,refusal_rate,d_refusal,d_refusal_harmful,d_refusal_harmless,margin_shift,class_gap
qwen2.5-7b,C,6,11,t_inst,False,0.4074,R_harm,R_harm,0.25,0.25,0.0019737090915441513,0.0015125192003324628,0.002430723048746586,0.0004000067710876465,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,22.438568115234375
qwen2.5-7b,C,6,11,t_inst,False,0.4074,R_harm,R_role,0.25,0.25,0.002422078512609005,0.0013211453333497047,0.003416113555431366,-0.0055999755859375,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,11.029229164123535
qwen2.5-7b,C,6,11,t_post_inst,False,0.4074,R_harm,R_harm,0.25,0.25,0.07762015610933304,0.07494687288999557,0.08026256412267685,0.0,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,8.399162292480469
qwen2.5-7b,C,6,11,t_post_inst,False,0.4074,R_harm,R_control,0.25,0.25,0.01220189593732357,0.009014487266540527,0.015456929802894592,0.007200002670288086,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,4.58178186416626
qwen2.5-7b,C,6,11,t_post_inst,False,0.4074,R_harm,R_role,0.25,0.25,-0.01908513344824314,-0.020132526755332947,-0.01796717382967472,-0.001999996602535248,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,14.759245872497559
qwen2.5-7b,C,6,12,t_inst,False,0.4444,R_harm,R_harm,0.25,0.25,0.0014713576529175043,0.0010070301359519362,0.0019215370994061232,0.0,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,23.19648551940918
qwen2.5-7b,C,6,12,t_inst,False,0.4444,R_harm,R_role,0.25,0.25,0.0020038115326315165,0.0010430875699967146,0.0029121434781700373,-0.004800021648406982,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,11.783050537109375
qwen2.5-7b,C,6,12,t_post_inst,False,0.4444,R_harm,R_harm,0.25,0.25,0.06957796216011047,0.067293182015419,0.07194110006093979,-0.0004000067710876465,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,8.569408416748047
qwen2.5-7b,C,6,12,t_post_inst,False,0.4444,R_harm,R_control,0.25,0.25,0.007001349702477455,0.003628307953476906,0.010376283898949623,0.0031999945640563965,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,4.886378765106201
qwen2.5-7b,C,6,12,t_post_inst,False,0.4444,R_harm,R_role,0.25,0.25,-0.01549525186419487,-0.016717907041311264,-0.014242397621273994,-0.0023999959230422974,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,16.006458282470703
qwen2.5-7b,C,6,13,t_inst,False,0.4815,R_harm,R_harm,0.25,0.25,0.0008216385613195598,0.00030124845216050744,0.0013198192464187741,0.0004000067710876465,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,24.594966888427734
qwen2.5-7b,C,6,13,t_inst,False,0.4815,R_harm,R_role,0.25,0.25,0.003523942781612277,0.0024573884438723326,0.004585837945342064,-0.0059999823570251465,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,12.813532829284668
qwen2.5-7b,C,6,13,t_post_inst,False,0.4815,R_harm,R_harm,0.25,0.25,0.0508619099855423,0.048317763954401016,0.05348394811153412,0.0,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,12.144042015075684
qwen2.5-7b,C,6,13,t_post_inst,False,0.4815,R_harm,R_control,0.25,0.25,-0.01536185760051012,-0.01821068674325943,-0.01230054721236229,0.004800021648406982,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,8.437129020690918
qwen2.5-7b,C,6,13,t_post_inst,False,0.4815,R_harm,R_role,0.25,0.25,-0.011656701564788818,-0.012925615534186363,-0.010411023162305355,-0.0011999979615211487,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,20.036767959594727
qwen2.5-7b,C,6,14,t_inst,False,0.5185,R_harm,R_harm,0.25,0.25,0.0006660656654275954,0.00016398522711824626,0.0011660130694508553,0.0,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,26.002429962158203
qwen2.5-7b,C,6,14,t_inst,False,0.5185,R_harm,R_role,0.25,0.25,0.003307873848825693,0.0023949190508574247,0.0041622500866651535,-0.011200010776519775,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,13.323630332946777
qwen2.5-7b,C,6,14,t_post_inst,False,0.5185,R_harm,R_harm,0.25,0.25,0.03303736075758934,0.030938047915697098,0.03503615781664848,0.0004000067710876465,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,15.548545837402344
qwen2.5-7b,C,6,14,t_post_inst,False,0.5185,R_harm,R_control,0.25,0.25,-0.014261074364185333,-0.01657310128211975,-0.011718403548002243,0.0067999958992004395,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,13.455118179321289
qwen2.5-7b,C,6,14,t_post_inst,False,0.5185,R_harm,R_role,0.25,0.25,-0.01388004794716835,-0.01512021105736494,-0.012675810605287552,0.0016000047326087952,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,21.35089111328125
qwen2.5-7b,C,6,15,t_inst,False,0.5556,R_harm,R_harm,0.25,0.25,0.00035088491858914495,-0.00017697502335067838,0.0008492546039633453,0.0,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,28.28249168395996
qwen2.5-7b,C,6,15,t_inst,False,0.5556,R_harm,R_role,0.25,0.25,0.003518924117088318,0.0025372945237904787,0.0044447025284171104,-0.006399989128112793,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,14.999579429626465
qwen2.5-7b,C,6,15,t_post_inst,False,0.5556,R_harm,R_harm,0.25,0.25,0.025346212089061737,0.023453015834093094,0.027084052562713623,0.0,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,17.492000579833984
qwen2.5-7b,C,6,15,t_post_inst,False,0.5556,R_harm,R_control,0.25,0.25,-0.013021204620599747,-0.014999947510659695,-0.011052107438445091,-0.0015999674797058105,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,16.464874267578125
qwen2.5-7b,C,6,15,t_post_inst,False,0.5556,R_harm,R_role,0.25,0.25,-0.012539616785943508,-0.013872412033379078,-0.011276143603026867,0.003600001335144043,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,22.532222747802734
qwen2.5-7b,C,6,16,t_inst,False,0.5926,R_harm,R_harm,0.25,0.25,0.00030909013003110886,-0.00021094101248309016,0.0008481637923978269,0.0,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,29.47056007385254
