layer,relative_depth,train_accuracy,accuracy,acc_ci_low,acc_ci_high,chance,n_test_instructions,auc_tool_user,auc_ci_low_tool_user,auc_ci_high_tool_user,cos_probe_vs_dom_tool_user,auc_matched_tool_user,auc_matched_ci_low_tool_user,auc_matched_ci_high_tool_user,length_matched_auc_tool_user,auc_system_user,auc_ci_low_system_user,auc_ci_high_system_user,cos_probe_vs_dom_system_user,auc_matched_system_user,auc_matched_ci_low_system_user,auc_matched_ci_high_system_user,length_matched_auc_system_user,auc_assistant_user,auc_ci_low_assistant_user,auc_ci_high_assistant_user,cos_probe_vs_dom_assistant_user,auc_matched_assistant_user,auc_matched_ci_low_assistant_user,auc_matched_ci_high_assistant_user,length_matched_auc_assistant_user
10,0.3704,0.9998416385135135,0.9512468030690537,0.9376598596572876,0.9642443060874939,0.25,100,0.935221254825592,0.9230260252952576,0.9473081827163696,0.6517119407653809,0.8666735291481018,0.8322173357009888,0.8984372615814209,0.521753191947937,0.8029243350028992,0.7855450510978699,0.8201993107795715,0.5407609343528748,0.8215469121932983,0.8004742860794067,0.8439099192619324,0.5008782148361206,0.8320813775062561,0.8183214664459229,0.8459299802780151,0.5707321763038635,0.810487687587738,0.7963325381278992,0.8247656226158142,0.5006822347640991
11,0.4074,0.9994721283783784,0.9440537084398977,0.9308911561965942,0.9580029249191284,0.25,100,0.9196757078170776,0.905553936958313,0.9335116147994995,0.6268032789230347,0.8513174653053284,0.8152047991752625,0.8848410844802856,0.521753191947937,0.7680986523628235,0.7514719367027283,0.7857961654663086,0.5121313333511353,0.7969309091567993,0.7734901309013367,0.8194546699523926,0.5008782148361206,0.786799430847168,0.773937463760376,0.7990922927856445,0.5225121974945068,0.7599236369132996,0.7437801361083984,0.7751638889312744,0.5006822347640991
12,0.4444,1.0,0.9592391304347826,0.9467194080352783,0.9715330600738525,0.25,100,0.9006584286689758,0.887536346912384,0.9143186211585999,0.5936717987060547,0.8690439462661743,0.834987998008728,0.9011932611465454,0.521753191947937,0.7530423998832703,0.736463189125061,0.7696868181228638,0.5247116088867188,0.7973216772079468,0.7744415998458862,0.8204149603843689,0.5008782148361206,0.8344705104827881,0.8217102885246277,0.846808910369873,0.5634009838104248,0.7945557832717896,0.7794161438941956,0.8099979162216187,0.5006822347640991
13,0.4815,0.9999472128378378,0.965153452685422,0.9526299238204956,0.9765725135803223,0.25,100,0.9402059316635132,0.9291383624076843,0.9518498182296753,0.5987071990966797,0.8722989559173584,0.8369110822677612,0.9049203991889954,0.521753191947937,0.7581987977027893,0.7421292066574097,0.7749220728874207,0.5277496576309204,0.821858286857605,0.7973334789276123,0.8462302088737488,0.5008782148361206,0.851097822189331,0.8381916284561157,0.8653485178947449,0.5267943739891052,0.7983368039131165,0.7828835248947144,0.8144174218177795,0.5006822347640991
14,0.5185,1.0,0.9624360613810742,0.9496071338653564,0.9746553301811218,0.25,100,0.946988582611084,0.9330565929412842,0.9597405791282654,0.6017119288444519,0.8817375898361206,0.8492269515991211,0.9129687547683716,0.521753191947937,0.7601165175437927,0.7436224818229675,0.7762710452079773,0.4964693784713745,0.8087425231933594,0.7833709120750427,0.8360016942024231,0.5008782148361206,0.9345835447311401,0.922835111618042,0.9468918442726135,0.5576568841934204,0.8907877802848816,0.8773592710494995,0.904559314250946,0.5006822347640991
15,0.5556,1.0,0.9680306905370843,0.9556400775909424,0.9797065854072571,0.25,100,0.9558831453323364,0.9431935548782349,0.9676967263221741,0.5884342193603516,0.8860575556755066,0.8538883328437805,0.916190505027771,0.521753191947937,0.7414700984954834,0.7260399460792542,0.7565293908119202,0.5107828378677368,0.8114374876022339,0.7865830659866333,0.8362572193145752,0.5008782148361206,0.9414164423942566,0.9292581081390381,0.9535505771636963,0.5505958795547485,0.8952094912528992,0.8789414763450623,0.9107961654663086,0.5006822347640991
16,0.5926,1.0,0.9597186700767263,0.9461308121681213,0.9725561141967773,0.25,100,0.953551709651947,0.9405757784843445,0.9658755660057068,0.5773113965988159,0.877220094203949,0.8440967202186584,0.9086428880691528,0.521753191947937,0.7269600033760071,0.7105007171630859,0.7424381375312805,0.5035436153411865,0.8007456064224243,0.7745488286018372,0.8273913860321045,0.5008782148361206,0.9333709478378296,0.9204033017158508,0.9461988210678101,0.5206276178359985,0.8771157264709473,0.8605824708938599,0.8947475552558899,0.5006822347640991
17,0.6296,0.9999472128378378,0.9605179028132992,0.9469943046569824,0.9728995561599731,0.25,100,0.947297215461731,0.9345669150352478,0.960115373134613,0.5648722648620605,0.8732866048812866,0.8384957909584045,0.9054779410362244,0.521753191947937,0.7309995293617249,0.7151661515235901,0.7462248206138611,0.49797770380973816,0.7919439673423767,0.7659481167793274,0.8175109028816223,0.5008782148361206,0.922329306602478,0.9073053598403931,0.9370463490486145,0.47201552987098694,0.8723175525665283,0.8536592125892639,0.8917971849441528,0.5006822347640991
18,0.6667,1.0,0.9720268542199488,0.959555447101593,0.9837648868560791,0.25,100,0.9305742979049683,0.9186967611312866,0.9433708786964417,0.5519236922264099,0.877314567565918,0.8445081114768982,0.9077939391136169,0.521753191947937,0.7585086822509766,0.742992639541626,0.7734239101409912,0.5469673871994019,0.796062707901001,0.7718742489814758,0.820765495300293,0.5008782148361206,0.8867648839950562,0.8717594146728516,0.9019560813903809,0.40631794929504395,0.8510438799858093,0.8348172307014465,0.8683501482009888,0.5006822347640991
19,0.7037,1.0,0.9796994884910486,0.9692611694335938,0.9889481067657471,0.25,100,0.9326608777046204,0.9221100807189941,0.9443901777267456,0.5681387186050415,0.8693531155586243,0.8358979225158691,0.899836003780365,0.521753191947937,0.8484229445457458,0.8334760665893555,0.8617846965789795,0.6103875637054443,0.8804414868354797,0.8604230880737305,0.8996095657348633,0.5008782148361206,0.8989463448524475,0.8849166035652161,0.9136782884597778,0.3995468020439148,0.8613913655281067,0.8442009687423706,0.8786875605583191,0.5006822347640991
20,0.7407,1.0,0.9744245524296675,0.9636586308479309,0.9843770861625671,0.25,100,0.8988281488418579,0.8869696259498596,0.9119135737419128,0.5396878123283386,0.8573808670043945,0.8212218284606934,0.889570951461792,0.521753191947937,0.8791850209236145,0.8655568957328796,0.8917015194892883,0.6017301678657532,0.8928062915802002,0.8743525743484497,0.9111183285713196,0.5008782148361206,0.8841047286987305,0.8678972125053406,0.9007640480995178,0.34429699182510376,0.8534070253372192,0.8339599967002869,0.8720582723617554,0.5006822347640991
21,0.7778,1.0,0.9728260869565217,0.9614273309707642,0.9826395511627197,0.25,100,0.9017896056175232,0.8898539543151855,0.9149227738380432,0.5593198537826538,0.8531897068023682,0.817052960395813,0.8855248093605042,0.521753191947937,0.8841267824172974,0.8708658218383789,0.8972396850585938,0.598967969417572,0.8950335383415222,0.8750540018081665,0.9143027067184448,0.5008782148361206,0.8962031602859497,0.8800710439682007,0.9134640097618103,0.3459341824054718,0.8712348341941833,0.853085458278656,0.889937698841095,0.5006822347640991
22,0.8148,1.0,0.9627557544757033,0.9513886570930481,0.9737262725830078,0.25,100,0.8690656423568726,0.854206919670105,0.8850610256195068,0.5335925817489624,0.8433130383491516,0.8036678433418274,0.8786970376968384,0.521753191947937,0.8700210452079773,0.855979323387146,0.8829611539840698,0.5776110887527466,0.8756768107414246,0.8553711771965027,0.8973019123077393,0.5008782148361206,0.8835078477859497,0.8665273785591125,0.902279794216156,0.338015615940094,0.862919807434082,0.8445326685905457,0.8833978772163391,0.5006822347640991
23,0.8519,1.0,0.9624360613810742,0.9516274333000183,0.9732142686843872,0.25,100,0.8527796864509583,0.8376844525337219,0.8685379028320312,0.5410856604576111,0.8419389128684998,0.8037864565849304,0.8768218159675598,0.521753191947937,0.842451810836792,0.828299343585968,0.8573266267776489,0.5794367790222168,0.8698253035545349,0.8473310470581055,0.8931052684783936,0.5008782148361206,0.8717785477638245,0.8537500500679016,0.8922998309135437,0.3497928977012634,0.8548266887664795,0.8355467915534973,0.8765618205070496,0.5006822347640991
24,0.8889,1.0,0.9562020460358056,0.9452122449874878,0.9675734639167786,0.25,100,0.8711301684379578,0.8554409146308899,0.8865258693695068,0.5455076694488525,0.8427891731262207,0.8046885132789612,0.8768382668495178,0.521753191947937,0.8470113277435303,0.8332455158233643,0.8620949387550354,0.5730317234992981,0.8688117861747742,0.8471570611000061,0.8919004201889038,0.5008782148361206,0.8901053071022034,0.8739840388298035,0.9087477922439575,0.37142181396484375,0.8735682964324951,0.8557620048522949,0.8943164348602295,0.5006822347640991
25,0.9259,1.0,0.9557225063938619,0.9445667266845703,0.9661828279495239,0.25,100,0.8989356756210327,0.88443523645401,0.9129208326339722,0.5723499059677124,0.8551221489906311,0.8206941485404968,0.885732114315033,0.521753191947937,0.8444079756736755,0.8301841020584106,0.8607045412063599,0.5430147647857666,0.856689989566803,0.8334729671478271,0.8813274502754211,0.5008782148361206,0.9170911312103271,0.9035278558731079,0.9319971203804016,0.3979623317718506,0.9088788628578186,0.8945890665054321,0.9261438846588135,0.5006822347640991
26,0.963,1.0,0.970108695652174,0.96038419008255,0.9784775972366333,0.25,100,0.9449220299720764,0.9347161054611206,0.9551889300346375,0.5893343091011047,0.8802689909934998,0.8501678109169006,0.9059348702430725,0.521753191947937,0.9167910814285278,0.9048629999160767,0.9297298789024353,0.5503783822059631,0.9315674901008606,0.9158412218093872,0.9484431147575378,0.5008782148361206,0.9186544418334961,0.9071416854858398,0.931190013885498,0.43959587812423706,0.9121396541595459,0.899203360080719,0.9260262846946716,0.5006822347640991
27,1.0,1.0,0.9584398976982097,0.9487237930297852,0.9681069254875183,0.25,100,0.856813907623291,0.8430259823799133,0.8710730671882629,0.47449344396591187,0.8460098505020142,0.8136438727378845,0.8791807293891907,0.521753191947937,0.8696203827857971,0.8580270409584045,0.8813005089759827,0.29127463698387146,0.8279967308044434,0.8085263967514038,0.8486946821212769,0.5008782148361206,0.8299379944801331,0.8125418424606323,0.8489036560058594,0.39644548296928406,0.8556156158447266,0.8370789289474487,0.8760988116264343,0.5006822347640991
