concept,layer,relative_depth,train_auc,auc,auc_ci_low,auc_ci_high,length_only_auc,random_auc,model
R_harm_user,3,0.1111,0.9557889103889464,0.9818999767303468,0.9575892686843872,0.9968819618225098,0.7054312229156494,0.4860000014305115,qwen2.5-7b
R_harm_user,4,0.1481,0.9509778022766112,0.973699986934662,0.943472981452942,0.9931063652038574,0.7054312229156494,0.6173999905586243,qwen2.5-7b
R_harm_user,5,0.1852,0.946833312511444,0.9715999960899352,0.940067708492279,0.9921724796295166,0.7054312229156494,0.8513000011444092,qwen2.5-7b
R_harm_user,6,0.2222,0.9573555588722228,0.980400025844574,0.9541679620742798,0.9966883063316344,0.7054312229156494,0.5557000041007996,qwen2.5-7b
R_harm_user,7,0.2593,0.962855577468872,0.979099988937378,0.9514227509498596,0.9960055947303772,0.7054312229156494,0.3057000041007995,qwen2.5-7b
R_harm_user,8,0.2963,0.9636777639389038,0.979200005531311,0.9519931077957152,0.9968691468238832,0.7054312229156494,0.131300002336502,qwen2.5-7b
R_harm_user,9,0.3333,0.9663888812065125,0.9811999797821044,0.9555245637893676,0.9972923398017884,0.7054312229156494,0.5676000118255615,qwen2.5-7b
R_harm_user,10,0.3704,0.9666555523872375,0.9796000123023988,0.9530975222587584,0.9965537786483764,0.7054312229156494,0.5533000230789185,qwen2.5-7b
R_harm_user,11,0.4074,0.96788889169693,0.9796000123023988,0.9524924755096436,0.9967368245124816,0.7054312229156494,0.6086999773979187,qwen2.5-7b
R_harm_user,12,0.4444,0.969011127948761,0.9817000031471252,0.9570218324661256,0.9978883266448976,0.7054312229156494,0.3461999893188476,qwen2.5-7b
R_harm_user,13,0.4815,0.9694555401802064,0.9818000197410583,0.957555890083313,0.997992753982544,0.7054312229156494,0.5612999796867371,qwen2.5-7b
R_harm_user,14,0.5185,0.9683666825294496,0.9805999994277954,0.9551224708557128,0.9968805313110352,0.7054312229156494,0.4993000030517578,qwen2.5-7b
R_harm_user,15,0.5556,0.9691888689994812,0.9807000160217284,0.9548090100288392,0.996802031993866,0.7054312229156494,0.428600013256073,qwen2.5-7b
R_harm_user,16,0.5926,0.9696778059005736,0.9815000295639038,0.9567974805831908,0.997189998626709,0.7054312229156494,0.3772999942302704,qwen2.5-7b
R_harm_user,17,0.6296,0.9693111181259156,0.9812999963760376,0.9560924768447876,0.9969988465309144,0.7054312229156494,0.3626999855041504,qwen2.5-7b
R_harm_user,18,0.6667,0.9688777923583984,0.9801999926567078,0.9545983672142028,0.9965123534202576,0.7054312229156494,0.426800012588501,qwen2.5-7b
R_harm_user,19,0.7037,0.9672666788101196,0.982200026512146,0.9569652676582336,0.9975531697273254,0.7054312229156494,0.4392000138759613,qwen2.5-7b
R_harm_user,20,0.7407,0.9660444259643556,0.9797000288963318,0.9537147879600524,0.996086835861206,0.7054312229156494,0.4726000130176544,qwen2.5-7b
R_harm_user,21,0.7778,0.9651444554328918,0.9801999926567078,0.954505205154419,0.9968555569648744,0.7054312229156494,0.3192000091075897,qwen2.5-7b
R_harm_user,22,0.8148,0.965755581855774,0.9814000129699708,0.9566985964775084,0.9973860383033752,0.7054312229156494,0.5547000169754028,qwen2.5-7b
R_harm_user,23,0.8519,0.9655444622039796,0.9814000129699708,0.9566484689712524,0.9970815181732178,0.7054312229156494,0.2276999950408935,qwen2.5-7b
R_harm_user,24,0.8889,0.9634666442871094,0.9811999797821044,0.955928385257721,0.99707293510437,0.7054312229156494,0.0759000033140182,qwen2.5-7b
R_harm_user,25,0.9259,0.9632889032363892,0.9805999994277954,0.9548140168190002,0.9965514540672302,0.7054312229156494,0.4462999999523163,qwen2.5-7b
R_harm_user,26,0.963,0.9508444666862488,0.9735999703407288,0.9446071982383728,0.9920982718467712,0.7054312229156494,0.3964999914169311,qwen2.5-7b
