model,arm,position,layer,relative_depth,tag_contrast,register_contrast,cos_tag_register,tag_split_half,register_split_half,floor,distinct
qwen2.5-7b,generated,t_inst,6,0.2222,assistant_vs_user,tool_register_vs_user_register,0.06535640358924866,0.012496523559093475,0.9946798086166382,0.012496523559093475,False
qwen2.5-7b,generated,t_inst,7,0.2593,tool_vs_user,system_register_vs_tool_register,0.22069692611694336,0.906801700592041,0.9945815205574036,0.906801700592041,True
qwen2.5-7b,generated,t_inst,7,0.2593,tool_vs_user,system_register_vs_user_register,0.06156298890709877,0.906801700592041,0.9803158640861511,0.906801700592041,True
qwen2.5-7b,generated,t_inst,7,0.2593,tool_vs_user,tool_register_vs_user_register,0.19242379069328308,0.906801700592041,0.9938742518424988,0.906801700592041,True
qwen2.5-7b,generated,t_inst,7,0.2593,system_vs_user,system_register_vs_tool_register,0.29896828532218933,0.7578058242797852,0.9945815205574036,0.7578058242797852,True
qwen2.5-7b,generated,t_inst,7,0.2593,system_vs_user,system_register_vs_user_register,0.08763648569583893,0.7578058242797852,0.9803158640861511,0.7578058242797852,True
qwen2.5-7b,generated,t_inst,7,0.2593,system_vs_user,tool_register_vs_user_register,0.258034884929657,0.7578058242797852,0.9938742518424988,0.7578058242797852,True
qwen2.5-7b,generated,t_inst,7,0.2593,assistant_vs_user,system_register_vs_tool_register,0.1598341166973114,0.1475066840648651,0.9945815205574036,0.1475066840648651,False
qwen2.5-7b,generated,t_inst,7,0.2593,assistant_vs_user,system_register_vs_user_register,0.06714381277561188,0.1475066840648651,0.9803158640861511,0.1475066840648651,True
qwen2.5-7b,generated,t_inst,7,0.2593,assistant_vs_user,tool_register_vs_user_register,0.12534919381141663,0.1475066840648651,0.9938742518424988,0.1475066840648651,True
qwen2.5-7b,generated,t_inst,8,0.2963,tool_vs_user,system_register_vs_tool_register,0.19828654825687408,0.9109023213386536,0.9938241243362427,0.9109023213386536,True
qwen2.5-7b,generated,t_inst,8,0.2963,tool_vs_user,system_register_vs_user_register,0.06052039936184883,0.9109023213386536,0.9766443967819214,0.9109023213386536,True
qwen2.5-7b,generated,t_inst,8,0.2963,tool_vs_user,tool_register_vs_user_register,0.17519642412662506,0.9109023213386536,0.9933280944824219,0.9109023213386536,True
qwen2.5-7b,generated,t_inst,8,0.2963,system_vs_user,system_register_vs_tool_register,0.18451187014579773,0.7723312377929688,0.9938241243362427,0.7723312377929688,True
qwen2.5-7b,generated,t_inst,8,0.2963,system_vs_user,system_register_vs_user_register,0.039391592144966125,0.7723312377929688,0.9766443967819214,0.7723312377929688,True
qwen2.5-7b,generated,t_inst,8,0.2963,system_vs_user,tool_register_vs_user_register,0.17300443351268768,0.7723312377929688,0.9933280944824219,0.7723312377929688,True
qwen2.5-7b,generated,t_inst,8,0.2963,assistant_vs_user,system_register_vs_tool_register,0.2195194661617279,0.17872388660907745,0.9938241243362427,0.17872388660907745,False
